appid
730
578080
1172470
2358720
1599340
304930
271590
550
1063730
1938090
440
1623730
1091500
1491000
238960
218620
291480
901583
340
1097150
381210
990080
438100
292030
945360
413150
242760
899770
346110
431960
552990
236390
2246340
230410
1245620
105600
2694490
553850
1086940
252490
291550
4000
1085660
359550
107410
1116170
814380
594650
433850
1665460
417910
477160
100
251570
219990
1326470
2186680
255710
261550
8930
304050
289070
377160
532210
1238810
3241660
221100
526870
322330
239140
220
550650
1966720
1222670
49520
227300
892970
739630
444090
1203220
70
582010
227940
252950
108600
320
1174180
444200
400
1517290
755790
3164500
240
10
386360
648800
1240440
435150
109600
397900
1677740
420
698780
548430
1100600
1604030
534380
766570
294100
513710
273110
677620
439700
223710
782330
233450
779340
360
380
1049590
1551360
620
1118200
500
863550
268910
588650
646570
868270
374320
1237970
12210
391540
1721470
812140
1238840
386180
1593500
223750
286690
225540
380600
206420
1332010
113400
1144200
2630
555570
48700
208090
1868140
304390
440900
3240220
346900
241930
223470
365590
518790
2669320
424840
10190
976730
285800
594570
40
2050650
466240
284160
278360
264710
370910
275390
10180
2881650
311210
333930
1172620
22380
250900
767560
301520
367520
275850
203160
224260
1446780
322170
1089350
489830
394360
72850
218230
204360
1811260
632360
813820
700330
80
582660
1286830
379720
273350
1782210
844870
601150
365670
319630
363970
1293830
1229490
671860
427520
221380
231430
253710
1145360
236850
306130
30
1046930
1426210
2183900
883710
219640
2195250
244210
268500
1794680
1818750
242050
502500
308040
312660
1399780
1237950
383870
236110
242920
302830
470220
815370
1408720
12220
1029690
254700
1845910
310560
50
611500
544810
1904540
388410
200260
632470
265590
393380
495420
949230
394510
504230
343710
9900
7940
493340
464920
2835570
323580
225260
282140
40800
210770
485510
35700
1284210
41070
50300
110800
212070
783770
280
303390
1466860
431240
952060
24960
107100
248570
325610
1092790
207140
466560
787860
286570
2670630
203290
1569040
201790
222880
1254120
641990
644930
1250410
242720
238090
221910
1361210
261570
1313140
209000
848450
674020
286940
1888160
319510
201810
279720
774171
407530
1263850
644560
1520470
55100
108710
42700
414340
259080
635260
437900
1248130
1217060
220240
2622380
530700
17390
740130
1128810
1637320
1643320
858820
22330
302510
365450
1030830
212160
424280
613010
206440
1611910
678960
680420
788100
204450
1659040
436520
750920
630100
204300
17470
368500
554620
9010
1364780
314160
1687950
238370
113020
3070070
12200
2551020
683320
1619450
1557740
1404210
476600
32370
633230
453480
845070
